ARABIC LIGATURE THEH WITH ALEF MAKSURA FINAL FORM;;FC7A;;ﱺ;;FC7A
ARABIC LIGATURE THEH WITH YEH ISOLATED FORM;;FC14;;ﰔ;;FC14
ARABIC LIGATURE THEH WITH YEH FINAL FORM;;FC7B;;ﱻ;;FC7B
ARABIC LETTER JEEM ISOLATED FORM;;FE9D;;ﺝ;;FE9D
ARABIC LETTER JEEM FINAL FORM;;FE9E;;ﺞ;;FE9E
ARABIC LETTER JEEM INITIAL FORM;;FE9F;;ﺟ;;FE9F
ARABIC LETTER JEEM MEDIAL FORM;;FEA0;;ﺠ;;FEA0
ARABIC MATHEMATICAL JEEM;;1EE02;;𞸂;;1EE02
ARABIC MATHEMATICAL INITIAL JEEM;;1EE22;;𞸢;;1EE22
ARABIC MATHEMATICAL TAILED JEEM;;1EE42;;𞹂;;1EE42
ARABIC MATHEMATICAL STRETCHED JEEM;;1EE62;;𞹢;;1EE62
ARABIC MATHEMATICAL LOOPED JEEM;;1EE82;;𞺂;;1EE82
ARABIC MATHEMATICAL DOUBLE-STRUCK JEEM;;1EEA2;;𞺢;;1EEA2
ARABIC LIGATURE JEEM WITH HAH ISOLATED FORM;;FC15;;ﰕ;;FC15
ARABIC LIGATURE JEEM WITH HAH INITIAL FORM;;FCA7;;ﲧ;;FCA7
ARABIC LIGATURE JEEM WITH HAH WITH ALEF MAKSURA FINAL FORM;;FDA6;;ﶦ;;FDA6
ARABIC LIGATURE JEEM WITH HAH WITH YEH FINAL FORM;;FDBE;;ﶾ;;FDBE
ARABIC LIGATURE JALLAJALALOUHOU;;FDFB;;ﷻ;;FDFB
ARABIC LIGATURE JEEM WITH MEEM ISOLATED FORM;;FC16;;ﰖ;;FC16
ARABIC LIGATURE JEEM WITH MEEM INITIAL FORM;;FCA8;;ﲨ;;FCA8
ARABIC LIGATURE JEEM WITH MEEM WITH HAH FINAL FORM;;FD58;;ﵘ;;FD58
ARABIC LIGATURE JEEM WITH MEEM WITH HAH INITIAL FORM;;FD59;;ﵙ;;FD59
ARABIC LIGATURE JEEM WITH MEEM WITH ALEF MAKSURA FINAL FORM;;FDA7;;ﶧ;;FDA7
ARABIC LIGATURE JEEM WITH MEEM WITH YEH FINAL FORM;;FDA5;;ﶥ;;FDA5
ARABIC LIGATURE JEEM WITH ALEF MAKSURA ISOLATED FORM;;FD01;;ﴁ;;FD01
ARABIC LIGATURE JEEM WITH ALEF MAKSURA FINAL FORM;;FD1D;;ﴝ;;FD1D
ARABIC LIGATURE JEEM WITH YEH ISOLATED FORM;;FD02;;ﴂ;;FD02
ARABIC LIGATURE JEEM WITH YEH FINAL FORM;;FD1E;;ﴞ;;FD1E
ARABIC LETTER HAH ISOLATED FORM;;FEA1;;ﺡ;;FEA1
ARABIC LETTER HAH FINAL FORM;;FEA2;;ﺢ;;FEA2
ARABIC LETTER HAH INITIAL FORM;;FEA3;;ﺣ;;FEA3
ARABIC LETTER HAH MEDIAL FORM;;FEA4;;ﺤ;;FEA4
ARABIC MATHEMATICAL HAH;;1EE07;;𞸇;;1EE07
ARABIC MATHEMATICAL INITIAL HAH;;1EE27;;𞸧;;1EE27
ARABIC MATHEMATICAL TAILED HAH;;1EE47;;𞹇;;1EE47
ARABIC MATHEMATICAL STRETCHED HAH;;1EE67;;𞹧;;1EE67
ARABIC MATHEMATICAL LOOPED HAH;;1EE87;;𞺇;;1EE87
ARABIC MATHEMATICAL DOUBLE-STRUCK HAH;;1EEA7;;𞺧;;1EEA7
ARABIC LIGATURE HAH WITH JEEM ISOLATED FORM;;FC17;;ﰗ;;FC17
ARABIC LIGATURE HAH WITH JEEM INITIAL FORM;;FCA9;;ﲩ;;FCA9
ARABIC LIGATURE HAH WITH JEEM WITH YEH FINAL FORM;;FDBF;;ﶿ;;FDBF
ARABIC LIGATURE HAH WITH MEEM ISOLATED FORM;;FC18;;ﰘ;;FC18
ARABIC LIGATURE HAH WITH MEEM INITIAL FORM;;FCAA;;ﲪ;;FCAA
ARABIC LIGATURE HAH WITH MEEM WITH ALEF MAKSURA FINAL FORM;;FD5B;;ﵛ;;FD5B
ARABIC LIGATURE HAH WITH MEEM WITH YEH FINAL FORM;;FD5A;;ﵚ;;FD5A
ARABIC LIGATURE HAH WITH ALEF MAKSURA ISOLATED FORM;;FCFF;;ﳿ;;FCFF
ARABIC LIGATURE HAH WITH ALEF MAKSURA FINAL FORM;;FD1B;;ﴛ;;FD1B
ARABIC LIGATURE HAH WITH YEH ISOLATED FORM;;FD00;;ﴀ;;FD00
ARABIC LIGATURE HAH WITH YEH FINAL FORM;;FD1C;;ﴜ;;FD1C
ARABIC LETTER KHAH ISOLATED FORM;;FEA5;;ﺥ;;FEA5
ARABIC LETTER KHAH FINAL FORM;;FEA6;;ﺦ;;FEA6
ARABIC LETTER KHAH INITIAL FORM;;FEA7;;ﺧ;;FEA7
ARABIC LETTER KHAH MEDIAL FORM;;FEA8;;ﺨ;;FEA8
ARABIC MATHEMATICAL KHAH;;1EE17;;𞸗;;1EE17
ARABIC MATHEMATICAL INITIAL KHAH;;1EE37;;𞸷;;1EE37
ARABIC MATHEMATICAL TAILED KHAH;;1EE57;;𞹗;;1EE57
ARABIC MATHEMATICAL STRETCHED KHAH;;1EE77;;𞹷;;1EE77
ARABIC MATHEMATICAL LOOPED KHAH;;1EE97;;𞺗;;1EE97
ARABIC MATHEMATICAL DOUBLE-STRUCK KHAH;;1EEB7;;𞺷;;1EEB7
ARABIC LIGATURE KHAH WITH JEEM ISOLATED FORM;;FC19;;ﰙ;;FC19
ARABIC LIGATURE KHAH WITH JEEM INITIAL FORM;;FCAB;;ﲫ;;FCAB
ARABIC LIGATURE KHAH WITH HAH ISOLATED FORM;;FC1A;;ﰚ;;FC1A
ARABIC LIGATURE KHAH WITH MEEM ISOLATED FORM;;FC1B;;ﰛ;;FC1B
ARABIC LIGATURE KHAH WITH MEEM INITIAL FORM;;FCAC;;ﲬ;;FCAC
ARABIC LIGATURE KHAH WITH ALEF MAKSURA ISOLATED FORM;;FD03;;ﴃ;;FD03
ARABIC LIGATURE KHAH WITH ALEF MAKSURA FINAL FORM;;FD1F;;ﴟ;;FD1F
ARABIC LIGATURE KHAH WITH YEH ISOLATED FORM;;FD04;;ﴄ;;FD04
ARABIC LIGATURE KHAH WITH YEH FINAL FORM;;FD20;;ﴠ;;FD20
ARABIC LETTER DAL ISOLATED FORM;;FEA9;;ﺩ;;FEA9
ARABIC LETTER DAL FINAL FORM;;FEAA;;ﺪ;;FEAA
ARABIC MATHEMATICAL DAL;;1EE03;;𞸃;;1EE03
ARABIC MATHEMATICAL LOOPED DAL;;1EE83;;𞺃;;1EE83
ARABIC MATHEMATICAL DOUBLE-STRUCK DAL;;1EEA3;;𞺣;;1EEA3
ARABIC LETTER THAL ISOLATED FORM;;FEAB;;ﺫ;;FEAB
ARABIC LETTER THAL FINAL FORM;;FEAC;;ﺬ;;FEAC
ARABIC MATHEMATICAL THAL;;1EE18;;𞸘;;1EE18
ARABIC MATHEMATICAL LOOPED THAL;;1EE98;;𞺘;;1EE98
ARABIC MATHEMATICAL DOUBLE-STRUCK THAL;;1EEB8;;𞺸;;1EEB8
ARABIC LIGATURE THAL WITH SUPERSCRIPT ALEF ISOLATED FORM;;FC5B;;ﱛ;;FC5B
ARABIC LETTER REH ISOLATED FORM;;FEAD;;ﺭ;;FEAD
ARABIC LETTER REH FINAL FORM;;FEAE;;ﺮ;;FEAE
ARABIC MATHEMATICAL REH;;1EE13;;𞸓;;1EE13
ARABIC MATHEMATICAL LOOPED REH;;1EE93;;𞺓;;1EE93
ARABIC MATHEMATICAL DOUBLE-STRUCK REH;;1EEB3;;𞺳;;1EEB3
ARABIC LIGATURE RASOUL ISOLATED FORM;;FDF6;;ﷶ;;FDF6
ARABIC LIGATURE REH WITH SUPERSCRIPT ALEF ISOLATED FORM;;FC5C;;ﱜ;;FC5C
RIAL SIGN;;FDFC;;﷼;;FDFC
ARABIC LETTER ZAIN ISOLATED FORM;;FEAF;;ﺯ;;FEAF
ARABIC LETTER ZAIN FINAL FORM;;FEB0;;ﺰ;;FEB0
ARABIC MATHEMATICAL ZAIN;;1EE06;;𞸆;;1EE06
ARABIC MATHEMATICAL LOOPED ZAIN;;1EE86;;𞺆;;1EE86
ARABIC MATHEMATICAL DOUBLE-STRUCK ZAIN;;1EEA6;;𞺦;;1EEA6
ARABIC LETTER SEEN ISOLATED FORM;;FEB1;;ﺱ;;FEB1
ARABIC LETTER SEEN FINAL FORM;;FEB2;;ﺲ;;FEB2
ARABIC LETTER SEEN INITIAL FORM;;FEB3;;ﺳ;;FEB3
ARABIC LETTER SEEN MEDIAL FORM;;FEB4;;ﺴ;;FEB4
ARABIC MATHEMATICAL SEEN;;1EE0E;;𞸎;;1EE0E
